name,real_name,full_name,overall_score,history_text,powers_text,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,superpowers,alter_egos,aliases,place_of_birth,first_appearance,creator,alignment,occupation,base,teams,relatives,gender,type_race,height,weight,eye_color,hair_color,skin_color,img,has_electrokinesis,has_energy_constructs,has_mind_control_resistance,has_matter_manipulation,has_telepathy_resistance,has_mind_control,has_enhanced_hearing,has_dimensional_travel,has_element_control,has_size_changing,has_fire_resistance,has_fire_control,has_dexterity,has_reality_warping,has_illusions,has_energy_beams,has_peak_human_condition,has_shapeshifting,has_heat_resistance,has_jump,has_self-sustenance,has_energy_absorption,has_cold_resistance,has_magic,has_telekinesis,has_toxin_and_disease_resistance,has_telepathy,has_regeneration,has_immortality,has_teleportation,has_force_fields,has_energy_manipulation,has_endurance,has_longevity,has_weapon-based_powers,has_energy_blasts,has_enhanced_senses,has_invulnerability,has_stealth,has_marksmanship,has_flight,has_accelerated_healing,has_weapons_master,has_intelligence,has_reflexes,has_super_speed,has_durability,has_stamina,has_agility,has_super_strength
Shadow Wraith 255,Eliot Vance 255,Eliot Vance 255,50,A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the po,"Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and s",55,87,71,86,15,58,,,,,,,evil,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
Captain Sol 256,Sarah Bright 256,Sarah Bright 256,70,A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers ,"Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, f",89,50,54,65,41,33,,,,,,,neutral,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
Iron Fang 257,Victor Harlow 257,Victor Harlow 257,88,A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched st,"Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. ",65,82,57,90,79,90,,,,,,,evil,,,,,,,,,,,,,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0
Mystic Gale 258,Lila Rivers 258,Lila Rivers 258,81,A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for j,"Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipul",99,50,52,62,70,66,,,,,,,evil,,,,,,,,,,,,,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1
Neon Vortex 259,Arlo Sparks 259,Arlo Sparks 259,57,A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields ne,"Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super",51,97,61,80,66,66,,,,,,,neutral,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1
Shadow Wraith 260,Eliot Vance 260,Eliot Vance 260,64,A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the po,"Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and s",62,51,96,79,12,64,,,,,,,good,,,,,,,,,,,,,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1
Captain Sol 261,Sarah Bright 261,Sarah Bright 261,53,A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers ,"Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, f",85,91,69,74,52,72,,,,,,,good,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Iron Fang 262,Victor Harlow 262,Victor Harlow 262,68,A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched st,"Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. ",52,64,78,67,75,49,,,,,,,neutral,,,,,,,,,,,,,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
Mystic Gale 263,Lila Rivers 263,Lila Rivers 263,91,A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for j,"Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipul",74,80,85,86,59,28,,,,,,,evil,,,,,,,,,,,,,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
Neon Vortex 264,Arlo Sparks 264,Arlo Sparks 264,57,A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields ne,"Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super",79,73,81,72,4,75,,,,,,,neutral,,,,,,,,,,,,,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1
Shadow Wraith 265,Eliot Vance 265,Eliot Vance 265,92,A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the power of shadows to protect the innocent. A mysterious figure who harnesses the po,"Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and stealth. Mastery of shadows, teleportation, and s",62,73,63,62,29,18,,,,,,,good,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0
Captain Sol 266,Sarah Bright 266,Sarah Bright 266,64,A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers after a life-altering accident. A brilliant scientist who gained extraordinary powers ,"Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, flight, and energy blasts. Solar energy manipulation, f",88,71,94,88,72,74,,,,,,,evil,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1
Iron Fang 267,Victor Harlow 267,Victor Harlow 267,79,A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched strength and agility. A genetically enhanced warrior with unmatched st,"Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. Enhanced senses, strength, and agility. ",92,90,87,76,94,54,,,,,,,evil,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
Mystic Gale 268,Lila Rivers 268,Lila Rivers 268,62,A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for justice. A weather controller who uses her powers to fight for j,"Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipulation. Control over wind, flight, and weather manipul",80,74,89,89,85,49,,,,,,,neutral,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0
Neon Vortex 269,Arlo Sparks 269,Arlo Sparks 269,80,A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields neon energy to battle evil. A tech-savvy hero who wields ne,"Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super speed, and technological expertise. Energy constructs, super",78,93,54,77,44,83,,,,,,,good,,,,,,,,,,,,,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1
